repo_id,remote,commit,license,skill_count,agent_yaml_count,python_count,script_count,sample_skills
ClawBio_ClawBio,ClawBio/ClawBio,fbb0910,MIT,92,29,499,5,affinity-proteomics; analyze-fasta; archaic-introgression; article-data-fetcher; bgpt-mcp; bigquery-public; bio-orchestrator; bioconductor-bridge; bioqc-mcp; busco-assessor; cell-detection; celltype-specificity-profiler
GPTomics_bioSkills,GPTomics/bioSkills,c8d4039,MIT,553,0,399,1,bio-alignment-io; bio-alignment-trimming; bio-alignment-msa-parsing; bio-alignment-msa-statistics; bio-alignment-multiple; bio-alignment-pairwise; bio-alignment-structural; bio-alignment-amplicon-clipping; bio-alignment-filtering; bio-alignment-indexing; bio-alignment-sorting; bio-alignment-validation
K-Dense-AI_scientific-agent-skills,K-Dense-AI/scientific-agent-skills,0807ddb,MIT,149,9,298,231,adaptyv; aeon; anndata; arbor; arboreto; astropy; autoskill; benchling-integration; bgpt-paper-search; bids; biopython; bioservices
NVIDIA-BioNeMo_bionemo-agent-toolkit,NVIDIA-BioNeMo/bionemo-agent-toolkit,54fc67c,Apache-2.0,65,0,41,37,cuequivariance; genomics-workflow-acceleration; nvmolkit-usage; parabricks; boltz2-nim; diffdock-nim; evo2-nim; genmol-nim; drug-discovery-pipeline; msa-structure-prediction-pipeline; molmim-nim; msa-search-nim
NVIDIA_skills,NVIDIA/skills,2dceed6,Apache-2.0,238,481,341,352,aiq-deploy; aiq-research; cuopt-user-rules; dali-dynamic-mode; dynamo-interconnect-check; dynamo-router-starter; nemoclaw-user-guide; omniverse-cad-to-simready; omniverse-realtime-viewer; omniverse-usd-performance-tuning; physical-ai-infrastructure-setup-and-resilient-scaling; physical-ai-neural-reconstruction
VoltAgent_awesome-agent-skills,VoltAgent/awesome-agent-skills,934b1e8,MIT,0,0,0,0,
Yuan1z0825_nature-skills,Yuan1z0825/nature-skills,af29cdd,Apache-2.0,14,15,63,20,nature-academic-search; nature-citation; nature-data; nature-downloader; nature-figure; nature-literature-pipeline; nature-paper-to-patent; nature-paper2ppt; nature-polishing; researchwrite; nature-reader; nature-response
adaptyvbio_protein-design-skills,adaptyvbio/protein-design-skills,59dd633,MIT,24,0,0,0,alphafold; bindcraft; binder-design; binding-characterization; boltz; boltzgen; campaign-manager; cell-free-expression; chai; esm; foldseek; germinal
addyosmani_agent-skills,addyosmani/agent-skills,aba7c4e,MIT,24,1,0,3,api-and-interface-design; browser-testing-with-devtools; ci-cd-and-automation; code-review-and-quality; code-simplification; context-engineering; debugging-and-error-recovery; deprecation-and-migration; documentation-and-adrs; doubt-driven-development; frontend-ui-engineering; git-workflow-and-versioning
affaan-m_ECC,affaan-m/ECC,81af407,MIT,887,55,62,115,agent-introspection-debugging; agent-sort; api-design; article-writing; backend-patterns; benchmark-methodology; brand-discovery; brand-voice; bun-runtime; coding-standards; competitive-platform-analysis; competitive-report-structure
