target_path	local_commits	current_state	source_id	upstream_ref	upstream_path	decision	derivation	vendored	license	obligation	review_evidence
.codex/skills/bioinfo-analysis-code/SKILL.md	a2f35f4,e4ee03a	current	project-owned	n/a	n/a	keep	internal router to independently written local checklist	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/bioinfo-analysis-code/references/local-first-execution-checklist.md	a2f35f4	current	clawbio;addyosmani	clawbio=fbb0910761ab12a9a403060d04248e155b862437;addyosmani=aba7c4e9695c363e65cb59effe926c7f1d1abe3d	clawbio=skills/nfcore-rnaseq-wrapper/SKILL.md;addyosmani=skills/code-review-and-quality/SKILL.md	keep	mechanism-only independently rewritten	no	MIT	conservative attribution in THIRD_PARTY_NOTICES.md	manual current-text review
.codex/skills/chinese-scientific-polishing/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal user-specific scientific writing contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/citation-verifier/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal evidence-verification contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/claim-evidence-audit/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal claim-evidence contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/clinical-bioinformatics-evidence/SKILL.md	e649474,875cb4a	current	clawbio;gptomics;science-skills	clawbio=fbb0910761ab12a9a403060d04248e155b862437;gptomics=c8d403984b1f35c14861b0064d24695f82d44904;science-skills=33557e0f1faf0f281d255940de58935c61b2143b	clawbio=skills/clinical-trial-finder/SKILL.md;gptomics=clinical-databases/polygenic-risk/SKILL.md;science-skills=skills/clinical_trials_database/SKILL.md	keep	mechanism-only independently rewritten	no	MIT;Apache-2.0	conservative attribution in THIRD_PARTY_NOTICES.md	expression review has zero matches for retrievable representative pairs
.codex/skills/clinical-bioinformatics-evidence/agents/openai.yaml	e649474,875cb4a	current	project-owned	n/a	n/a	keep	internal-only discovery metadata; no external expression	no	project-owned	none	exact metadata schema validator pass
.codex/skills/clinical-bioinformatics-evidence/references/clinical-evidence-boundary.md	e649474,875cb4a	current	clawbio;science-skills	clawbio=fbb0910761ab12a9a403060d04248e155b862437;science-skills=33557e0f1faf0f281d255940de58935c61b2143b	clawbio=skills/clinical-trial-finder/SKILL.md;science-skills=skills/clinical_trials_database/SKILL.md	keep	mechanism-only independently rewritten	no	MIT;Apache-2.0	conservative attribution in THIRD_PARTY_NOTICES.md	manual package-specific safety-boundary review
.codex/skills/drug-discovery-admet-screening/SKILL.md	e4ee03a,875cb4a	current	bionemo;gptomics	bionemo=54fc67cd87b240f98ffc3223268c77c5eae6e028;gptomics=c8d403984b1f35c14861b0064d24695f82d44904	bionemo=nim-skills/meta-skills/drug-discovery-pipeline/SKILL.md;gptomics=chemoinformatics/admet-prediction/SKILL.md	split	mechanism-only independently rewritten	no	CC-BY-4.0;MIT	conservative attribution and change statement in THIRD_PARTY_NOTICES.md	expression review zero shared shingles and long lines for exact BioNeMo path
.codex/skills/drug-discovery-admet-screening/agents/openai.yaml	e4ee03a	current	project-owned	n/a	n/a	keep	internal-only discovery metadata; no external expression	no	project-owned	none	exact metadata schema validator pass
.codex/skills/drug-discovery-admet-screening/references/drug-screening-decision-matrix.md	e4ee03a,875cb4a	current	bionemo;gptomics	bionemo=54fc67cd87b240f98ffc3223268c77c5eae6e028;gptomics=c8d403984b1f35c14861b0064d24695f82d44904	bionemo=nim-skills/meta-skills/drug-discovery-pipeline/SKILL.md;gptomics=chemoinformatics/admet-prediction/SKILL.md	keep	mechanism-only independently rewritten	no	CC-BY-4.0;MIT	conservative attribution and change statement in THIRD_PARTY_NOTICES.md	manual package-specific decision-matrix review
.codex/skills/environment-and-tool-adoption/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal tool-adoption and license-check contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/evidence-gap-finder/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal evidence-gap contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/figure-caption/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal figure-evidence contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/literature-search-workflow/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal literature workflow contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/manuscript-consistency-audit/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal consistency-audit contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/paper-reader/SKILL.md	e4ee03a	current	project-owned	n/a	n/a	keep	internal paper-reading contract	no	project-owned	none	current body rewritten and package validator pass
.codex/skills/pathway-network-analysis/SKILL.md	e649474,875cb4a	current	clawbio;gptomics	clawbio=fbb0910761ab12a9a403060d04248e155b862437;gptomics=c8d403984b1f35c14861b0064d24695f82d44904	clawbio=skills/pathway-enricher/SKILL.md;gptomics=pathway-analysis/reactome-pathways/SKILL.md;gptomics=pathway-analysis/wikipathways/SKILL.md	keep	mechanism-only independently rewritten	no	MIT	conservative attribution in THIRD_PARTY_NOTICES.md	expression review zero shared shingles and long lines across three pairs
.codex/skills/pathway-network-analysis/agents/openai.yaml	e649474,875cb4a	current	project-owned	n/a	n/a	keep	internal-only discovery metadata; no external expression	no	project-owned	none	exact metadata schema validator pass
